PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
0PB3z,r1br2k1/pp3pbp/1qnP2p1/8/3P2n1/P1B2N2/2P2PPP/RN1QKB1R w KQ - 3 12,b1d2 c6d4 c3d4 g7d4 f3d4 b6d4,2023,77,90,199,crushing long middlegame,Sicilian Defense: Mengarini Variation
0PIu6,4k2r/3bnppp/1p6/5r2/Nq1n4/1P3NP1/P3QKBP/4RR2 w k - 10 19,e2e4 d7c6 e4e7 b4e7 e1e7 e8e7,2075,156,88,13,crushing long middlegame pin,Tarrasch Defense: Tarrasch Gambit
0PPji,r1b2r1k/p4ppp/2p1pR2/6BQ/2P5/P1pq4/6PP/3R2K1 b - - 1 16,d3e4 h5f7 e4e1 d1e1 f8f7 f6f7,2364,80,91,834,crushing long middlegame,French Defense: Diemer-Duhm Gambit Accepted
0Pdck,r1b1k2r/pp1nb1pp/2p1pn2/q2p2B1/3P4/P1NBQP2/2P1N1PP/1R3RK1 b kq - 0 14,e6e5 d4e5 d5d4 e2d4,1935,96,88,31,advantage master middlegame short,Dutch Defense: Staunton Gambit
0PfYa,rqb1kb1r/3n1ppp/p1R1pn2/1p6/3N4/1Q2P3/PP1BBPPP/RN4K1 w kq - 6 13,c6e6 f7e6 b3e6 f8e7 d4f5 b8e5 f5g7 e8f8,1945,197,100,8,advantage middlegame veryLong,Queens Gambit Accepted: Gunsberg Defense
0Q0ZS,r3k2r/pp3ppp/2p1bn2/2Qp4/B7/2P1B3/P1P2PqP/2KR1R2 b kq - 3 16,g2h2 a4c6 b7c6 c5c6 f6d7 c6a8,1027,77,89,1191,advantage fork long middlegame,Scotch Game: Modern Defense
0QDe2,r2q1r2/1pp1bppk/3p3B/p3nP1Q/4P3/1B5R/PPP1n1PP/R5K1 w - - 1 18,h5e2 g7h6 e2h5 e7g5,1425,76,84,465,advantage defensiveMove middlegame short,Nimzowitsch Defense: Mikenas Variation
0QRz3,1r3rk1/pB3ppp/4bn2/8/2q5/3N2P1/1P2PP1P/R2Q1RK1 w - - 1 18,a1a7 c4c7 d1c1 c7b6 c1c5 b8b7 c5b6 b7b6,2464,96,89,469,advantage middlegame veryLong,Bogo-Indian Defense: Exchange Variation
0QfMZ,r1q1k2r/1Rp1pp2/1p1p2pp/4P3/2P5/5Q1P/P4PP1/5RK1 b kq - 0 17,c7c6 b7e7 e8e7 f3f6 e7d7 f6f7,2110,78,85,50,attraction crushing deflection endgame long sacrifice,Kings Indian Defense: Accelerated Averbakh Variation
0QgnX,rnbq2nr/pppp1k1p/8/8/4Pp2/2Q5/PPPP2PP/R1B2RK1 b - - 0 9,d8f6 d2d4 f7e8 c1f4,2687,109,90,422,advantage discoveredAttack middlegame quietMove short,Kings Gambit Accepted: Traditional Variation
